,Season,EpisodeNo,Title,AirDate,Writers,Director,SEID,IMDBrating,Viewers,PosTotal,NegTotal,CompTotal,LineCountTotal,WordCountTotal,PosJerry,NegJerry,CompJerry,LineCountJerry,WordCountJerry,PosGeorge,NegGeorge,CompGeorge,LineCountGeorge,WordCountGeorge,PosKramer,NegKramer,CompKramer,LineCountKramer,WordCountKramer,PosElaine,NegElaine,CompElaine,LineCountElaine,WordCountElaine,PosSecond,NegSecond,CompSecond,LineCountSecond,WordCountSecond,PosOther,NegOther,CompOther,LineCountOther,WordCountOther,TwoParter,Pilot,Finale
10,2,7,The Revenge,18-Apr-91,Larry David,Tom Cherones,S02E07,8.5,19.6,0.120261761,0.110351277,0.072591398,271,2976,0.107544508,0.087469034,0.055086174,83,1056,0.144645995,0.194970155,0.063675711,83,774,0.090297659,-0.211977926,0.105020067,32,299,0.144580328,0.19320623,0.113278689,22,305,0,0,0,3,12,0.115622642,0.169027736,0.080424528,48,530,0,0,0
11,2,8,The Heart Attack,25-Apr-91,Larry Charles,Tom Cherones,S02E08,8,20.6,0.117781738,0.100815513,0.067706382,224,2946,0.126113912,0.012026424,0.079160598,60,1071,0.110476969,0.078486033,0.058323923,59,673,0.094019868,0.146097351,0.055241722,18,302,0.061426471,0.006646078,0.084588235,18,204,,,,,,0.138852011,0.266988362,0.059613506,69,696,0,0,0
12,2,9,The Deal,2-May-91,Larry Charles,Tom Cherones,S02E09,8.4,22.9,0.12181631,0.062151554,0.070374243,294,2477,0.11147069,0.016090948,0.09024569,134,1160,0.104548686,-0.014985471,0.076644513,52,647,0.176348571,0.375746857,0.007862857,19,175,0.152515152,0.166789744,0.037918415,82,429,,,,,,0.128787879,0.116227273,0.036363636,7,66,0,0,0
13,2,10,The Baby Shower,16-May-91,Larry Charles,Tom Cherones,S02E10,7.7,17.2,0.080376298,-0.067028131,0.084040929,233,3274,0.081898574,-0.060174802,0.071495246,75,1262,0.091564214,-0.102449784,0.103189033,43,693,0.086153409,0.005182955,0.075501894,29,528,0.078801418,0.014641371,0.077288416,40,423,,,,,,0.047608696,-0.221308967,0.111019022,46,368,0,0,0
14,2,11,The Chinese Restaurant,23-May-91,"Larry David, Jerry Seinfeld",Tom Cherones,S02E11,8.8,16.8,0.094797253,0.111564113,0.060670401,239,2767,0.084707317,0.122616565,0.048553862,75,984,0.087896175,0.105701093,0.067983607,48,732,,,,,,0.089237288,0.098587827,0.070103236,60,649,,,,,,0.141037313,0.116135572,0.061783582,56,402,0,0,0
15,2,12,The Busboy,26-Jun-91,"Larry David, Jerry Seinfeld",Tom Cherones,S02E12,7.9,12.5,0.068129842,-0.014966161,0.068646111,223,3227,0.056313835,-0.08729805,0.076440111,57,1077,0.099728739,0.178322581,0.053021994,49,682,0.05720442,-0.082981215,0.062911602,23,181,0.053424318,-0.203471712,0.075272953,50,806,,,,,,0.078536383,0.214399168,0.064401247,44,481,0,0,0
16,3,1,The Note,18-Sep-91,Larry David,Tom Cherones,S03E01,8.4,21.7,0.101178975,0.090209015,0.067660346,335,3006,0.106012422,0.058110404,0.077588509,108,1288,0.084687879,0.039777576,0.06670303,91,660,0.12411747,0.365343675,0.038771084,24,332,0.055408,-0.0563184,0.077268,45,250,,,,,,0.119006303,0.132047059,0.057226891,67,476,0,0,0
17,3,2,The Truth,25-Sep-91,Elaine Pope,David Steinberg,S03E02,8,16.7,0.131101701,0.22808907,0.074266739,261,2763,0.135075269,0.342058561,0.071951199,78,1209,0.124890805,0.14219727,0.099922414,68,696,0.159473896,0.131846586,0.06764257,32,249,0.111697329,0.113497329,0.053658754,52,337,,,,,,0.127400735,0.171373529,0.050507353,31,272,0,0,0
18,3,3,The Pen,2-Oct-91,Larry David,Tom Cherones,S03E03,8.4,15.1,0.082987266,0.074500623,0.049574099,391,3691,0.087945878,0.118926894,0.039839301,107,1201,,,,,,,,,,,0.092575342,0.068823288,0.037633562,41,292,0.071401116,0.021811085,0.060028708,148,1254,0.089103814,0.08972786,0.051764831,95,944,0,0,0
19,3,4,The Dog,9-Oct-91,Larry David,Tom Cherones,S03E04,7.5,17.2,0.095253492,0.043797102,0.067103701,261,2864,0.073794422,-0.054500637,0.087589641,93,1255,0.113853448,0.0097,0.072287356,53,348,0.111403922,0.183640392,0.053219608,21,255,0.124287081,0.145281978,0.04722807,68,627,,,,,,0.090335092,0.138621372,0.036730871,26,379,0,0,0
20,3,5,The Library,16-Oct-91,Larry Charles,Joshua White,S03E05,8.8,16.4,0.083384723,0.123494873,0.064292292,226,2867,0.087494787,0.278052133,0.049809479,74,1055,0.065358396,-6.52E-05,0.06164411,37,399,0.096039088,0.01979772,0.046908795,33,307,0.035657692,-0.149381538,0.108192308,26,260,,,,,,0.096836879,0.110522577,0.07641844,56,846,0,0,0
21,3,6,The Parking Garage,30-Oct-91,Larry David,Tom Cherones,S03E06,8.9,17,0.086435263,0.087205788,0.065595182,281,2989,0.108518084,0.134697458,0.079217009,73,1023,0.088876302,0.188216536,0.054286458,65,768,0.03479803,-0.092200493,0.057465517,51,406,0.076305509,0.011855593,0.055729549,59,599,,,,,,0.099735751,0.044788601,0.08611399,33,193,0,0,0
22,3,7,The Cafe,6-Nov-91,Tom Leopold,Tom Cherones,S03E07,8.6,16.4,0.120556544,0.110641342,0.05873934,343,2697,0.135193357,0.143057177,0.06960261,92,843,0.09585567,0.092968041,0.046185567,77,679,0.074396694,0.059221901,0.060789256,30,242,0.093230126,0.01721318,0.064933054,80,478,,,,,,0.183558242,0.202456264,0.049749451,64,455,0,0,0
23,3,8,The Tape,13-Nov-91,"Larry David and Bob Shaw, Don McEnery",David&nbsp; Steinberg,S03E08,8.8,15.8,0.08904038,0.079591449,0.044203936,316,2947,0.085588406,0.012512657,0.051919807,107,1035,0.091547393,0.112965521,0.04824763,99,844,0.062303719,0.03683657,0.043960744,45,484,0.131210526,0.225888756,0.026363636,49,418,,,,,,0.069584337,0.084410241,0.021168675,16,166,0,0,0
24,3,9,The Nose Job,20-Nov-91,Peter Mehlman,Tom Cherones,S03E09,8.2,16.3,0.144358593,0.15447926,0.066152647,264,2758,0.169368421,0.197387081,0.068710526,47,418,0.13847981,0.190958907,0.055684086,69,842,0.155313636,0.127020909,0.060440909,35,440,0.151738676,0.124228571,0.065254355,41,287,,,,,,0.128220493,0.118308431,0.079792477,72,771,0,0,0
25,3,10,The Stranded,27-Nov-91,"Larry David, Jerry Seinfeld and Matt Goldman",Tom Cherones,S03E10,7.6,18.6,0.118963196,0.098853813,0.065831565,331,3016,0.142864481,0.092346885,0.074327869,121,915,0.112209862,0.075959977,0.090666284,76,872,0.094684524,0.179083333,0.04410119,14,168,0.126581169,0.006433117,0.065451299,34,308,,,,,,0.100041169,0.153175564,0.03175166,86,753,0,0,0
26,3,11,The Alternate Side,4-Dec-91,Larry David and Bill Masters,Tom Cherones,S03E11,8.5,18,0.100051198,0.057186796,0.06747485,317,3340,0.10207037,0.05619787,0.054764815,113,1080,0.071587601,-0.144752022,0.097008086,40,371,0.084342441,-0.023461749,0.055562842,50,549,0.129815927,0.267101305,0.084211488,59,766,,,,,,0.089952962,-0.013424913,0.061358885,55,574,0,0,0
27,3,12,The Red Dot,11-Dec-91,Larry David,Tom Cherones,S03E12,8.5,17.9,0.094877661,0.06965948,0.057461304,282,2959,0.104026549,0.094747296,0.058264503,90,1017,0.099800436,0.020721592,0.05061614,86,917,0.097981707,0.108657927,0.063152439,8,164,0.074506931,0.013371683,0.065170297,60,505,,,,,,0.08352809,0.185927247,0.059241573,38,356,0,0,0
28,3,13,The Subway,8-Jan-92,Larry David,Tom Cherones,S03E13,8.9,18.7,0.106943668,0.149035602,0.081362325,180,2219,0.103593123,0.106955874,0.073022923,33,349,0.083601942,-0.172828544,0.126998058,41,515,0.113695067,0.080237668,0.067529148,16,223,0.143959016,0.016339344,0.134614754,24,122,,,,,,0.114041584,0.358913564,0.05759604,66,1010,0,0,0
29,3,14,The Pez Dispenser,15-Jan-92,Larry David,Tom Cherones,S03E14,8.6,19.2,0.119327944,0.129745554,0.073111072,288,2845,0.134477509,0.157447751,0.079784314,79,867,0.125689448,0.175534173,0.07578777,75,834,0.114525926,0.225601481,0.026366667,27,270,0.128969697,0.124216498,0.059774411,36,297,,,,,,0.08465338,-0.020071577,0.087953206,71,577,0,0,0
30,3,15,The Suicide,29-Jan-92,Tom Leopold,Tom Cherones,S03E15,7.8,16.9,0.099859092,0.069641488,0.071922552,331,2931,0.104415445,0.053464418,0.080135875,111,1023,0.114058052,0.163716854,0.070893258,55,534,0.11427115,0.140421475,0.029275488,46,461,0.058752212,0.025273894,0.063681416,26,226,0.110141975,-0.026898148,0.126037037,24,162,0.078405714,-0.007787429,0.081262857,69,525,0,0,0
31,3,16,The Fix-Up,5-Feb-92,"Elaine Pope, Larry Charles",Tom Cherones,S03E16,8.5,18.5,0.133213166,0.089529606,0.090077673,300,2871,0.150818919,0.141001081,0.064122973,99,740,0.14923277,0.112677243,0.095621586,69,769,0.090215488,0.12266936,0.100090909,16,297,0.128343802,0.054961488,0.084198347,80,605,,,,,,0.112276087,-0.007901304,0.123830435,36,460,0,0,0
32,3,17,The Boyfriend (1),12-Feb-92,Larry David and Larry Levin,Tom Cherones,S03E17,9,17,0.094422549,0.085627969,0.055653396,301,2989,0.090029437,0.051568918,0.050908225,114,1155,0.075379665,-0.021725225,0.062332046,63,777,0.108232911,0.300662278,0.048278481,35,395,0.088228571,0.013216429,0.090464286,44,280,0.086894737,0.209978947,0.066747368,10,95,0.153184669,0.246864808,0.029184669,35,287,0,0,0
33,3,18,The Boyfriend (2),12-Feb-92,Larry David and Larry Levin,Tom Cherones,S03E18,8.8,17,0.151856909,0.168671915,0.063922919,229,2439,0.170135417,0.336140799,0.0554375,53,576,0.165531148,0.200402459,0.079959016,44,610,0.164756272,0.232077778,0.061688172,32,279,0.168083333,0.0758625,0.069640152,34,264,0.098328125,-0.061564062,0.04096875,8,64,0.115747678,0.022741331,0.057249226,58,646,0,0,0
34,3,19,The Limo,26-Feb-92,Larry Charles / Story By Marc Jaffe,Tom Cherones,S03E19,9,19.5,0.096936796,0.025997639,0.071692699,271,2753,0.07663754,0.10381877,0.077710356,68,618,0.103896478,0.002939274,0.073823906,84,937,0.091948087,-0.041481421,0.09134153,30,366,0.092741176,0.018039412,0.068558824,31,170,,,,,,0.109871601,0.025336707,0.053,58,662,0,0,0
35,3,20,The Good Samaritan,4-Mar-92,Peter Mehlman,Jason Alexander,S03E20,8.1,16.1,0.132189774,0.063446156,0.080284489,308,2914,0.124880886,0.056270914,0.079398892,107,1083,0.157606719,0.161218379,0.085774704,58,506,0.112492366,0.010410687,0.058015267,28,262,0.136907877,0.072857677,0.080954606,77,749,,,,,,0.121621019,-0.047559873,0.091474522,38,314,0,0,0
36,3,21,The Letter,25-Mar-92,Larry David,Tom Cherones,S03E21,8.1,22.3,0.135862257,0.142673089,0.058260922,303,3296,0.140563549,0.048285012,0.072328537,65,834,0.105656743,0.098756217,0.029259194,55,571,0.184963696,0.249112541,0.049570957,32,303,0.131774127,0.077308419,0.063652977,54,487,,,,,,0.13626158,0.236567393,0.062652134,97,1101,0,0,0
37,3,22,The Parking Space,22-Apr-92,Larry David and Greg Daniels,Tom Cherones,S03E22,8.5,17.8,0.115031596,0.089950554,0.076110181,397,3703,0.109712329,0.097793836,0.048422945,85,584,0.113442197,0.094393064,0.078196532,96,1038,0.175722343,0.039902386,0.106375271,58,461,0.102732376,0.141889034,0.083357702,63,766,0.13526,0.019692,0.0772,10,50,0.096608209,0.062100373,0.069201493,85,804,0,0,0
38,3,23,The Keys,6-May-92,Larry Charles,Tom Cherones,S03E23,8.6,16.4,0.082246104,0.021936006,0.064528896,295,3080,0.057488,-0.080912,0.071693333,84,750,0.084298625,0.068973477,0.061662083,62,509,0.127440678,0.202563945,0.069506934,56,649,0.099954373,0.141954373,0.054711027,33,263,0.112951807,-0.181354217,0.068819277,10,83,0.059227603,-0.073373123,0.05857385,50,826,0,0,0
39,4,1,The Trip (1),12-Aug-92,Larry Charles,Tom Cherones,S04E01,8.4,16.3,0.152551877,0.217037713,0.051830717,289,2930,0.129518868,0.226481509,0.025975472,62,530,0.129823529,0.229450671,0.034443756,79,969,0.210762443,0.416388462,0.036545249,38,442,,,,,,,,,,,0.161148635,0.11072184,0.089553084,110,989,0,0,0
40,4,2,The Trip (2),19-Aug-92,Larry Charles,Tom Cherones,S04E02,8.5,15.1,0.122464823,0.057218747,0.091359089,266,2459,0.101737683,-0.035926232,0.08961518,90,751,0.100113464,0.063531014,0.083721634,83,661,0.189802326,0.124109302,0.099523256,34,430,,,,,,,,,,,0.124709887,0.117213128,0.095974068,59,617,0,0,0
41,4,3,The Pitch,16-Sep-92,Larry Charles,Tom Cherones,S04E03,8.8,17.6,0.112439842,0.168876211,0.051632044,360,3283,0.117183908,0.167310848,0.050492098,151,1392,0.100013859,0.139812154,0.047094883,100,938,0.099362637,0.138426648,0.098862637,38,364,0.1776,0.16392,0,3,10,0.11078626,0.241324427,0.021870229,25,262,0.14270347,0.236992429,0.042056782,43,317,0,0,0
42,4,4,The Ticket,16-Sep-92,Larry David,Tom Cherones,S04E04,8.5,17.6,0.117703144,0.101040444,0.066203453,351,3244,0.114239407,0.133644915,0.060324153,110,944,0.11695461,0.145392908,0.044331915,81,705,0.065262391,0.040690087,0.079029155,60,343,0.115555556,0.197311111,0,3,18,0.144010652,0.044796405,0.095262317,53,751,0.121981366,0.099300207,0.057795031,44,483,0,0,0
43,4,5,The Wallet (1),23-Sep-92,Larry David,Tom Cherones,S04E05,8.2,17.6,0.116764622,0.116992345,0.064676892,362,3488,0.092889429,0.063424666,0.076571081,91,823,0.129834783,0.071347536,0.054524638,36,345,0.117195652,0.12633913,0.046137681,36,414,0.130649616,0.091549872,0.10197954,45,391,0.110853346,0.1043956,0.063523373,110,1091,0.154457547,0.304858255,0.036521226,44,424,0,0,0
44,4,6,The Watch (2),30-Sep-92,Larry David,Tom Cherones,S04E06,8.2,15.2,0.132053536,0.054668836,0.065149338,345,3549,0.104034091,-0.101685227,0.070085227,72,880,0.168637701,0.249078877,0.075398396,51,748,0.223325253,0.286546869,0.046983838,47,495,0.179225,0.236967917,0.067566667,29,240,0.079262082,-0.04066803,0.084226766,74,538,0.084512346,-0.122904167,0.043757716,72,648,0,0,0
45,4,7,The Bubble Boy,7-Oct-92,"Larry David, Larry Charles",Tom Cherones,S04E07,8.9,17.1,0.119874182,0.107869712,0.075324224,363,3513,0.129789091,0.099401,0.08648,100,1100,0.107008499,0.087337252,0.0731983,68,706,0.11120625,0.307706875,0.03204375,24,320,0.092828488,0.00752907,0.06802907,46,344,0.092145078,0.096033161,0.04826943,27,193,0.138234118,0.103946471,0.088042353,98,850,0,0,0
46,4,8,The Cheever Letters,28-Oct-92,"Larry David, Larry Charles",Tom Cherones,S04E08,8.6,15.1,0.107313706,0.219593574,0.054354752,338,4093,0.095127119,0.211342764,0.063007823,102,1534,0.123422149,0.175375548,0.046910088,88,912,0.167180282,0.403284225,0.029839437,27,355,0.092675758,0.0965,0.083593939,27,330,0.110503876,0.437544574,0.051034884,19,258,0.088504261,0.180052273,0.045017045,75,704,0,0,0
47,4,9,The Opera,4-Nov-92,Larry Charles,Tom Cherones,S04E09,8.3,16.7,0.112512557,0.051718245,0.064982451,299,3305,0.078099093,-0.078424075,0.072911375,94,1433,0.144397229,0.240754734,0.05421709,36,433,0.16112201,0.200417225,0.055933014,55,418,0.113233792,0.092054224,0.065316306,48,509,0.103533333,0.051036667,0.076733333,8,60,0.146497788,0.100379425,0.056590708,58,452,0,0,0
48,4,10,The Virgin,11-Nov-92,Peter Mehlman,Tom Cherones,S04E10,8.4,16.2,0.100633791,0.033594844,0.073362006,316,3569,0.09098,0.016092667,0.063346667,118,1350,0.105123506,0.034131574,0.093682271,76,1004,0.078261411,-0.059688382,0.090443983,34,241,0.107280591,0.108121519,0.063295359,24,474,0.170583333,-0.187308333,0.172066667,6,60,0.115563636,0.087001364,0.045752273,58,440,0,0,0
49,4,11,The Contest,18-Nov-92,Larry David,Tom Cherones,S04E11,9.6,18.5,0.092691143,0.056691143,0.04832315,339,3568,0.119735437,0.202176699,0.031984223,91,824,0.092933875,0.07144652,0.054039443,77,862,0.135919811,0.196697406,0.061955189,29,424,0.055939759,-0.206680857,0.056001339,66,747,0.076569038,0.118974059,0.053464435,16,239,0.072529661,0.035274576,0.03940678,60,472,0,0,0
50,4,12,The Airport,25-Nov-92,Larry Charles,Tom Cherones,S04E12,9,14.5,0.105191682,0.155181777,0.050825331,245,2645,0.130078397,0.236063937,0.036487805,53,574,0.105658887,0.297033214,0.060301616,37,557,0.088328912,-0.045354642,0.050509284,33,377,0.122834646,0.222598228,0.057824803,50,508,,,,,,0.077925278,0.02150461,0.050054054,72,629,0,0,0
51,4,13,The Pick,16-Dec-92,Larry Charles,Tom Cherones,S04E13,8.7,16.2,0.099129769,0.066068824,0.06453596,288,3198,0.093168955,0.057459556,0.056406547,79,947,0.11704698,0.163674362,0.063587919,50,745,0.101931765,0.058527059,0.048854118,50,425,0.105,0.07953211,0.084168807,46,545,0.082530612,0.061216327,0,10,49,0.075967146,-0.074501232,0.080002053,53,487,0,0,0
52,4,14,The Movie,6-Jan-93,"Steve Skrovan, Bill Masters, Jon Hayman",Tom Cherones,S04E14,8.3,17.6,0.087630749,0.037260885,0.066547963,234,2283,0.100971545,0.056613821,0.088471545,35,246,0.112574468,0.158088936,0.038629787,43,470,0.123044118,0.222688971,0.028455882,15,136,0.054778163,-0.136117331,0.082745234,56,577,,,,,,0.086617096,0.052800703,0.070720141,85,854,0,0,0
53,4,15,The Visa,27-Jan-93,Peter Mehlman,Tom Cherones,S04E15,8.3,11.5,0.151946321,0.17018617,0.083100095,299,3167,0.142685185,0.066731379,0.063639918,102,972,0.178540613,0.303500133,0.114439414,57,751,0.125157895,0.373079224,0.030293629,18,361,0.17414405,0.256901253,0.043745303,59,479,,,,,,0.132190397,-0.019121192,0.138221854,63,604,0,0,0
54,4,16,The Shoes,4-Feb-93,"Larry David, Jerry Seinfeld",Tom Cherones,S04E16,8.4,26.9,0.113659347,0.099519359,0.057835597,304,3461,0.108933644,0.134231315,0.042128056,88,859,0.118187583,0.128167107,0.048791281,57,757,0.146880503,0.260345912,0.056339623,23,318,0.079650862,-0.073235345,0.063618534,36,464,,,,,,0.119159925,0.078363594,0.074892756,100,1063,0,0,0
55,4,17,The Outing,11-Feb-93,Larry Charles,Tom Cherones,S04E17,9.4,28,0.089470276,0.05356449,0.071095011,204,1884,0.082709867,0.025341237,0.066561119,64,679,0.092224525,0.076412263,0.080597582,66,579,0.075285714,-0.140755952,0.111595238,12,84,0.052367188,-0.033494531,0.051484375,16,128,,,,,,0.111055556,0.13424372,0.063086957,46,414,0,0,0
56,4,18,The Old Man,18-Feb-93,Bruce Kirschbaum,Tom Cherones,S04E18,8.3,22.7,0.1067244,0.05946908,0.0647752,247,2500,0.123284024,0.157296055,0.037447732,62,507,0.119273469,0.256330408,0.029053061,34,490,0.075590278,-0.022311111,0.051475694,34,288,0.117901907,0.021556403,0.05740327,28,367,0.064406393,0.062596347,0.07839726,24,219,0.106068362,-0.114264706,0.120278219,65,629,0,0,0
57,4,19,The Implant,25-Feb-93,Peter Mehlman,Tom Cherones,S04E19,8.8,27.4,0.117264583,0.067132153,0.072269444,275,2880,0.117525872,0.136040794,0.054330927,77,831,0.108318408,-0.109480597,0.106676617,34,402,0.140166181,0.066307872,0.062833819,35,343,0.075849432,0.026791477,0.0729375,44,352,,,,,,0.12787605,0.096772794,0.076551471,85,952,0,0,0
58,4,20,The Junior Mint,18-Mar-93,Andy Robin,Tom Cherones,S04E20,8.9,26.4,0.117725964,0.148021157,0.04900643,378,3266,0.115642916,0.103676719,0.064120961,144,1207,0.109327044,0.200195597,0.032435535,68,636,0.151193407,0.133305714,0.044083516,58,455,0.121982097,0.203845524,0.05159335,42,391,,,,,,0.102065858,0.157048873,0.037783362,66,577,0,0,0
59,4,21,The Smelly Car,15-Apr-93,"Larry David, Peter Mehlman",Tom Cherones,S04E21,8.6,25,0.090931887,0.083067722,0.054885466,238,2305,0.060528671,-0.066022657,0.078665734,65,715,0.129929915,0.242670427,0.038439316,57,585,0.155293413,0.42981018,0.027497006,13,167,0.036409091,-0.077827922,0.067876623,35,308,0.10443787,0.046204142,0.042798817,28,169,0.098373961,0.113848476,0.04168144,40,361,0,0,0
60,4,22,The Handicap Spot,13-May-93,Larry David,Tom Cherones,S04E22,8.5,27.6,0.134513867,0.119547625,0.06367198,325,3137,0.141281706,0.053688215,0.048916947,81,891,0.103214286,0.070154121,0.092175824,73,728,0.16205,0.292642292,0.063745833,51,480,0.140568675,0.161167711,0.040725301,58,415,0.085331633,-0.154795918,0.110617347,19,196,0.159491803,0.232083372,0.046533958,43,427,0,0,0
61,4,23,The Pilot (1),20-May-93,Larry David,Tom Cherones,S04E23,8.8,32.8,0.116037704,0.06701331,0.058956584,347,3501,0.10996119,0.016402199,0.060759379,87,773,0.110461028,-0.180488226,0.12452073,50,603,0.150518519,0.16329943,0.065512821,31,351,0.090725524,0.054107517,0.061003497,44,572,,,,,,0.124719634,0.201748336,0.022017471,135,1202,0,0,0
62,4,24,The Pilot (2),20-May-93,Larry David,Tom Cherones,S04E24,8.8,32.8,0.10308274,0.076992472,0.066809088,278,2949,0.112863014,0.115440487,0.062407915,76,657,0.134528529,0.186366066,0.059406907,44,666,0.03575,-0.269221528,0.094743056,12,144,0.147389776,0.269075719,0.050108626,28,313,0.193,-0.07525,0.22275,2,8,0.075296296,-0.015300775,0.073509044,116,1161,0,0,0
63,5,1,The Mango,16-Sep-93,"Lawrence H. Levy, Buck Dancer (Larry David pseudonym)",Tom Cherones,S05E01,8.7,,0.111761728,0.087892913,0.070244347,364,2963,0.107727103,0.158368692,0.060398131,133,1070,0.127325792,0.12038552,0.06221267,64,663,0.109292929,0.053603788,0.050209596,47,396,0.113861314,0.013629927,0.109355231,69,411,,,,,,0.097843972,-0.037050591,0.08849409,51,423,0,0,0
64,5,2,The Puffy Shirt,23-Sep-93,Larry David,Tom Cherones,S05E02,9,,0.117466275,0.186243129,0.049666947,297,3573,0.112293371,0.049606206,0.053018336,71,709,0.098877307,0.102469273,0.060766558,67,921,0.164463651,0.353199838,0.021420032,48,619,0.18682197,0.370031818,0.055950758,25,264,0.048829493,-0.016379724,0.069414747,35,434,0.122538339,0.362126837,0.04113099,51,626,0,0,0
65,5,3,The Glasses,30-Sep-93,"Tom Gammill, Max Pross",Tom Cherones,S05E03,8.5,,0.104602926,0.069686424,0.067785301,324,2939,0.097183585,0.058372786,0.067100432,96,926,0.136788494,0.117341963,0.058796954,72,591,0.088928058,0.169392326,0.03722542,39,417,0.073451485,-0.136349505,0.124960396,47,505,,,,,,0.124836,0.159252,0.047418,70,500,0,0,0
