# ----------------------------------------
# Cage Code Site Data
# Network
# 20160401-20180407
# ----------------------------------------

Service Provider,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
volvo group north america inc.,21,18,50,14.00%,3.74,00:05:24,0.00%,0,$0.00
*se2-ptk*,20,16,65,30.77%,3.71,00:06:53,0.00%,0,$0.00
012 smile communications ltd.,20,20,23,4.35%,3.39,00:01:25,0.00%,0,$0.00
aero zone,20,16,419,55.13%,1.68,00:02:54,0.00%,0,$0.00
airband communications inc,20,21,26,11.54%,3.46,00:03:24,0.00%,0,$0.00
arcor ag & co kg network operation center,20,21,27,11.11%,2.81,00:00:36,0.00%,0,$0.00
belden wire and cable company,20,21,31,32.26%,2.52,00:02:02,0.00%,0,$0.00
biglobe inc.,20,21,29,13.79%,3.69,00:01:33,0.00%,0,$0.00
broadband,20,20,21,23.81%,2.67,00:01:05,0.00%,0,$0.00
cablecom gmbh,20,17,37,10.81%,4.59,00:06:00,0.00%,0,$0.00
cae elektronik gmbh,20,21,290,17.93%,6.87,00:18:30,0.00%,0,$0.00
chinanet hubei province network,20,20,33,15.15%,2.09,00:01:33,0.00%,0,$0.00
ci - e. i. du pont de nemours and company sid-22793,20,20,23,17.39%,5.09,00:03:04,0.00%,0,$0.00
cogeco cable holdings inc,20,20,23,21.74%,3.48,00:01:31,0.00%,0,$0.00
compa a dominicana de tel fonos c. por a. - codetel,20,17,23,43.48%,2.09,00:01:18,0.00%,0,$0.00
coprosys a.s. region brno,20,18,30,16.67%,3.67,00:03:39,0.00%,0,$0.00
cornerstone telephone company llc,20,20,29,10.34%,3.66,00:01:48,0.00%,0,$0.00
cte s.a. de c.v.,20,16,23,39.13%,6.91,00:04:36,0.00%,0,$0.00
dct telecom group inc.,20,20,46,15.22%,3.09,00:02:00,0.00%,0,$0.00
department of military 31001245,20,20,25,28.00%,3.36,00:03:13,0.00%,0,$0.00
doosan heavy industries & construction co.ltd,20,20,31,22.58%,4.03,00:03:33,0.00%,0,$0.00
ducommun technologies,20,18,26,11.54%,3.00,00:02:11,0.00%,0,$0.00
easton telecom - eu t1,20,18,81,8.64%,3.93,00:06:14,0.00%,0,$0.00
element materials technology holding usa inc.,20,20,23,17.39%,3.78,00:03:14,0.00%,0,$0.00
eurowings,20,21,73,6.85%,2.64,00:01:03,0.00%,0,$0.00
exponential-e ltd.,20,20,27,18.52%,3.19,00:01:34,0.00%,0,$0.00
flightsatr,20,17,97,9.28%,3.37,00:03:04,0.00%,0,$0.00
gecis- global business organisation,20,18,201,23.88%,2.25,00:01:55,0.00%,0,$0.00
gpc / eis,20,17,134,2.24%,3.45,00:01:54,0.00%,0,$0.00
harlow,20,18,81,6.17%,10.10,00:05:39,0.00%,0,$0.00
industria turbopropulsores s.a.,20,14,56,12.50%,3.88,00:02:02,0.00%,0,$0.00
innovation place c/o qcc communications,20,18,77,1.30%,3.77,00:02:15,0.00%,0,$0.00
intel corporation,20,20,23,34.78%,2.78,00:01:28,0.00%,0,$0.00
internal revenue service,20,20,35,45.71%,2.94,00:03:21,0.00%,0,$0.00
ip addresses assigned to dsl customers,20,18,29,31.03%,3.14,00:01:53,0.00%,0,$0.00
ip range assigned for vdf-it customers,20,20,31,12.90%,3.45,00:02:09,0.00%,0,$0.00
jarrdd incorporated,20,20,61,16.39%,2.97,00:01:31,0.00%,0,$0.00
joramco,20,13,82,21.95%,2.39,00:01:39,0.00%,0,$0.00
kabel bw gmbh,20,17,22,18.18%,3.86,00:09:43,0.00%,0,$0.00
leased line customer lan,20,20,33,36.36%,2.55,00:05:25,0.00%,0,$0.00
m1 connect pte ltd,20,17,52,19.23%,4.37,00:03:31,0.00%,0,$0.00
mason electric co,20,21,35,11.43%,4.06,00:06:24,0.00%,0,$0.00
meridiana olbia,20,20,27,14.81%,2.96,00:01:31,0.00%,0,$0.00
network of at&t managed firewall network,20,20,23,21.74%,3.65,00:03:20,0.00%,0,$0.00
nextweb inc,20,21,35,20.00%,3.80,00:03:03,0.00%,0,$0.00
northwest aerospace technologies,20,20,52,5.77%,4.38,00:02:10,0.00%,0,$0.00
ohio state university,20,20,29,13.79%,3.14,00:01:54,0.00%,0,$0.00
organisation,20,20,29,24.14%,3.07,00:02:32,0.00%,0,$0.00
pldt_qcyhubs002_dhcp,20,20,63,20.63%,2.84,00:06:14,0.00%,0,$0.00
pos solutions,20,18,120,8.33%,2.63,00:01:46,0.00%,0,$0.00
race technologies inc.,20,21,27,18.52%,2.81,00:02:05,0.00%,0,$0.00
rackspace cloud servers,20,20,67,46.27%,2.22,00:03:44,0.00%,0,$0.00
reliance jio infocomm limited,20,20,21,80.95%,1.19,00:00:09,0.00%,0,$0.00
relianet,20,18,23,4.35%,3.04,00:02:01,0.00%,0,$0.00
ridge engineering inc.,20,18,81,9.88%,3.07,00:03:53,0.00%,0,$0.00
sarenet s.a.,20,20,74,16.22%,3.74,00:02:58,0.00%,0,$0.00
smithville digital llc,20,17,104,13.46%,3.06,00:07:56,0.00%,0,$0.00
solar turbines inc. mz g1,20,20,44,11.36%,3.09,00:03:31,0.00%,0,$0.00
south african airways,20,17,144,15.28%,2.26,00:01:20,0.00%,0,$0.00
sprint relay pop,20,18,20,35.00%,6.65,00:04:17,0.00%,0,$0.00
sri international,20,18,111,9.01%,3.12,00:02:36,0.00%,0,$0.00
starhub cable vision ltd,20,20,23,30.43%,3.04,00:03:38,0.00%,0,$0.00
supplycore.com,20,21,38,13.16%,5.11,00:04:47,0.00%,0,$0.00
this prefix is dedicated to business services on the metropolita,20,17,90,15.56%,2.28,00:02:14,0.00%,0,$0.00
tt adsl-dynamic-ttnet,20,8,42,23.81%,3.10,00:05:55,0.00%,0,$0.00
upc polska sp. z o.o.,20,20,31,54.84%,1.94,00:00:14,0.00%,0,$0.00
vianet,20,20,22,31.82%,2.14,00:00:22,0.00%,0,$0.00
wesco distribution inc.,20,20,22,4.55%,6.18,00:08:53,0.00%,0,$0.00
zitcom a/s,20,18,361,39.06%,2.43,00:04:30,0.00%,0,$0.00
acc-astronics test systems,18,18,31,9.68%,5.52,00:05:57,0.00%,0,$0.00
acc-flightsafety internationa,18,18,29,10.34%,3.55,00:03:31,0.00%,0,$0.00
alken indust inc,18,18,37,32.43%,2.22,00:01:08,0.00%,0,$0.00
american registry for internet numbers,18,14,22,4.55%,3.09,00:00:56,0.00%,0,$0.00
amplifier research,18,17,23,0.00%,3.04,00:03:43,0.00%,0,$0.00
ankara sanayi odasi 1.organize sanayi,18,18,18,5.56%,3.83,00:02:23,0.00%,0,$0.00
apt electronics inc attn,18,17,44,6.82%,4.55,00:04:29,0.00%,0,$0.00
austal usa llc,18,20,20,20.00%,2.10,00:00:35,0.00%,0,$0.00
bae systems hagglunds ab,18,18,47,14.89%,4.09,00:13:44,0.00%,0,$0.00
bax global,18,18,175,17.14%,17.93,00:20:56,0.00%,0,$0.00
bdm information systems ltd.,18,17,21,23.81%,2.71,00:03:04,0.00%,0,$0.00
bell aliant / customer assignments,18,18,52,17.31%,3.29,00:03:03,0.00%,0,$0.00
business only broadband,18,20,21,19.05%,3.52,00:06:38,0.00%,0,$0.00
continental data graphics (aka cdg/boeing),18,18,27,25.93%,3.44,00:01:35,0.00%,0,$0.00
cpe customers nl,18,17,21,38.10%,2.48,00:02:29,0.00%,0,$0.00
customer-contact-id-0032000000qxs9taar,18,18,93,5.38%,7.75,00:15:57,0.00%,0,$0.00
data-matique lp,18,18,18,5.56%,2.39,00:00:39,0.00%,0,$0.00
digi-key corporation,18,18,18,50.00%,1.89,00:00:18,0.00%,0,$0.00
dqe communications network services llc,18,17,55,14.55%,4.93,00:15:40,0.00%,0,$0.00
duncan aviation,18,18,27,11.11%,4.15,00:04:22,0.00%,0,$0.00
earthlink business,18,18,64,25.00%,2.55,00:01:26,0.00%,0,$0.00
emteq,18,20,37,10.81%,3.11,00:01:55,0.00%,0,$0.00
end-user numericable,18,18,21,33.33%,2.71,00:02:07,0.00%,0,$0.00
epb fiber optics,18,18,18,5.56%,3.39,00:01:12,0.00%,0,$0.00
fpl fibernet llc,18,16,21,19.05%,3.62,00:01:22,0.00%,0,$0.00
ftip002942063 btss (the capita group plc),18,18,26,3.85%,3.35,00:03:13,0.00%,0,$0.00
google incorporated,18,18,18,100.00%,1.00,00:00:00,0.00%,0,$0.00
grupo editorial bauer mexico,18,18,23,34.78%,3.91,00:01:28,0.00%,0,$0.00
guadalupe valley telephone cooperative inc.,18,18,18,38.89%,2.22,00:00:15,0.00%,0,$0.00
gulf aircraft maintenance company (gamco),18,21,112,8.04%,2.38,00:02:03,0.00%,0,$0.00
hiawatha broadband communications inc,18,17,23,17.39%,3.35,00:04:46,0.00%,0,$0.00
hsv adsl cbb,18,18,61,27.87%,3.07,00:02:17,0.00%,0,$0.00
intercomp,18,13,33,12.12%,3.15,00:02:29,0.00%,0,$0.00
jgb enterprises inc.,18,20,30,10.00%,3.23,00:01:29,0.00%,0,$0.00
jinan international airport stock corporation,18,18,26,30.77%,2.92,00:05:10,0.00%,0,$0.00
kapco sold by astro communications ltd,18,17,91,10.99%,6.48,00:11:09,0.00%,0,$0.00
kitron as,18,18,31,3.23%,5.26,00:03:38,0.00%,0,$0.00
lcc terminal jalan klia s3,18,17,223,5.83%,2.77,00:02:00,0.00%,0,$0.00
leased line service,18,16,50,54.00%,9.00,00:04:53,0.00%,0,$0.00
link egypt,18,14,121,57.85%,1.67,00:02:16,0.00%,0,$0.00
lord corporation,18,18,20,20.00%,2.50,00:01:59,0.00%,0,$0.00
mckean defense,18,17,31,25.81%,3.84,00:06:21,0.00%,0,$0.00
mia adsl cbb,18,17,30,10.00%,3.43,00:02:58,0.00%,0,$0.00
mil-aero solutions,18,17,617,93.84%,1.10,00:00:28,0.00%,0,$0.00
national institutes of health,18,18,20,15.00%,2.40,00:01:31,0.00%,0,$0.00
navcom defense electronics,18,18,29,10.34%,2.34,00:01:39,0.00%,0,$0.00
neptech inc,18,16,719,16.55%,3.76,00:05:26,0.00%,0,$0.00
noaa-boulder,18,18,22,13.64%,3.82,00:02:36,0.00%,0,$0.00
ote sa (hellenic telecommunications organisation),18,17,26,38.46%,2.35,00:00:38,0.00%,0,$0.00
ovh hosting inc.,18,18,18,100.00%,1.00,00:00:00,0.00%,0,$0.00
packetexchange inc,18,18,23,30.43%,3.30,00:03:36,0.00%,0,$0.00
pe-tdp-grs,18,16,22,22.73%,2.00,00:00:57,0.00%,0,$0.00
please send abuse/spam complaints to abuse@012.net.il.,18,17,20,20.00%,2.65,00:04:12,0.00%,0,$0.00
pt indosat mega media,18,12,115,48.70%,2.86,00:05:43,0.00%,0,$0.00
qatar airways-13443,18,16,31,9.68%,3.13,00:02:20,0.00%,0,$0.00
raytheon technical services company llc,18,18,77,12.99%,6.47,00:10:03,0.00%,0,$0.00
rohde & schwarz gmbh & co. kg,18,18,26,15.38%,4.42,00:05:09,0.00%,0,$0.00
selectomtelecom,18,18,30,13.33%,3.87,00:02:43,0.00%,0,$0.00
shared services canada,18,18,18,16.67%,3.28,00:01:09,0.00%,0,$0.00
shentel service company,18,18,20,15.00%,2.85,00:02:04,0.00%,0,$0.00
tata consultancy services,18,12,111,9.01%,3.07,00:02:30,0.00%,0,$0.00
telmex argentina s.a.,18,17,30,30.00%,3.57,00:04:24,0.00%,0,$0.00
triad design services,18,21,59,28.81%,5.14,00:03:50,0.00%,0,$0.00
true broadband,18,16,27,44.44%,2.33,00:02:53,0.00%,0,$0.00
tsbs fuer recaro aircraft seating gmbh & co. kg,18,18,21,19.05%,3.19,00:00:54,0.00%,0,$0.00
tt adsl-statik_ulus,18,16,34,23.53%,4.29,00:04:18,0.00%,0,$0.00
ttsl-isp division,18,18,25,20.00%,2.88,00:02:20,0.00%,0,$0.00
ultra electronics tcs inc.,18,21,55,7.27%,3.51,00:02:17,0.00%,0,$0.00
usa choice internet services,18,16,40,0.00%,4.60,00:02:57,0.00%,0,$0.00
usf dslam north,18,18,22,4.55%,3.55,00:03:11,0.00%,0,$0.00
valued - southeast - psc,18,17,60,5.00%,2.98,00:02:09,0.00%,0,$0.00
viewqwest pte ltd,18,17,20,35.00%,2.40,00:00:47,0.00%,0,$0.00
vodafone d2 gmbh,18,17,20,45.00%,2.50,00:00:37,0.00%,0,$0.00
vodafone-data-routes,18,18,37,27.03%,2.35,00:02:32,0.00%,0,$0.00
vse corporation,18,18,26,19.23%,2.65,00:00:39,0.00%,0,$0.00
zeelandnet bv,18,17,110,14.55%,5.85,00:05:08,0.00%,0,$0.00
zhejiang development b show technology co. ltd,18,18,81,24.69%,2.53,00:02:45,0.00%,0,$0.00
adsl llu pools,17,14,31,51.61%,4.87,00:04:40,0.00%,0,$0.00
aeroexchange ltd,17,14,38,2.63%,16.21,00:35:55,0.00%,0,$0.00
alaska airlines inc.,17,17,23,17.39%,4.26,00:01:42,0.00%,0,$0.00
allegiance communications llc,17,17,53,9.43%,6.17,00:06:59,0.00%,0,$0.00
astound broadband llc,17,17,18,16.67%,2.61,00:01:48,0.00%,0,$0.00
avcorp industries inc.,17,18,22,13.64%,2.73,00:00:39,0.00%,0,$0.00
bank of america,17,17,18,27.78%,2.94,00:03:32,0.00%,0,$0.00
bcl south no. 55 divyashree towers bannergatta road bangalore k,17,17,20,25.00%,2.50,00:00:38,0.00%,0,$0.00
bigelow aerospace,17,10,100,8.00%,3.04,00:01:46,0.00%,0,$0.00
blu telecommunications-tsc l,17,17,52,7.69%,3.98,00:03:43,0.00%,0,$0.00
chinanet jiangsu province network,17,14,26,26.92%,3.00,00:03:48,0.00%,0,$0.00
colt-fr-telecom-wan-w62-23-224,17,18,48,35.42%,2.25,00:00:43,0.00%,0,$0.00
data communication business group,17,13,31,32.26%,5.42,00:17:09,0.00%,0,$0.00
dell inc.,17,17,18,44.44%,2.44,00:01:29,0.00%,0,$0.00
detect network inc,17,7,72,6.94%,9.28,00:18:21,0.00%,0,$0.00
driessen aerospace group nv,17,17,31,0.00%,3.87,00:01:44,0.00%,0,$0.00
dsl extreme,17,16,17,0.00%,3.29,00:01:29,0.00%,0,$0.00
dsme,17,17,112,10.71%,9.99,00:31:31,0.00%,0,$0.00
eircom,17,16,30,16.67%,2.47,00:00:56,0.00%,0,$0.00
eircom customer assignment,17,17,23,13.04%,3.17,00:02:13,0.00%,0,$0.00
elbit systems australia ltd,17,17,29,24.14%,3.72,00:03:41,0.00%,0,$0.00
emirates internet,17,13,18,44.44%,2.22,00:01:17,0.00%,0,$0.00
ems development,17,16,30,3.33%,4.13,00:05:53,0.00%,0,$0.00
era industries,17,17,47,10.64%,2.49,00:00:40,0.00%,0,$0.00
fbi criminal justice information systems,17,17,17,17.65%,2.00,00:00:59,0.00%,0,$0.00
firstdigital communications llc,17,14,63,11.11%,4.87,00:03:26,0.00%,0,$0.00
fixed ip,17,14,26,19.23%,4.73,00:05:12,0.00%,0,$0.00
gates corporation,17,17,29,27.59%,2.90,00:02:13,0.00%,0,$0.00
harris corporation information management,17,14,18,22.22%,2.83,00:01:29,0.00%,0,$0.00
hewlett packard enterprise company,17,17,48,29.17%,2.44,00:01:12,0.00%,0,$0.00
hosting - hex dco,17,17,20,0.00%,4.35,00:01:52,0.00%,0,$0.00
houston fearless 76,17,17,21,0.00%,5.86,00:07:01,0.00%,0,$0.00
industria de turbo propulsores s.a.,17,14,22,13.64%,3.50,00:01:37,0.00%,0,$0.00
internet central ltd.,17,17,17,23.53%,3.35,00:03:41,0.00%,0,$0.00
interstate connecting components inc.,17,16,78,16.67%,2.53,00:01:30,0.00%,0,$0.00
kellstrom materials,17,17,34,0.00%,10.12,00:06:35,0.00%,0,$0.00
l j walch co,17,17,99,4.04%,2.78,00:02:06,0.00%,0,$0.00
liberty cablevision of puerto rico ltd,17,17,17,23.53%,2.59,00:02:57,0.00%,0,$0.00
lider taxi aereo s/a,17,17,18,22.22%,2.56,00:01:10,0.00%,0,$0.00
lot aircraft maintenance services,17,16,17,5.88%,3.71,00:01:52,0.00%,0,$0.00
microsemi corp.,17,13,29,13.79%,2.79,00:01:53,0.00%,0,$0.00
midcontinent media inc,17,17,17,29.41%,3.00,00:01:20,0.00%,0,$0.00
miltope corporation,17,17,55,30.91%,3.13,00:04:45,0.00%,0,$0.00
mta solutions,17,18,40,25.00%,3.20,00:01:53,0.00%,0,$0.00
netriver int llc,17,18,23,39.13%,2.91,00:02:52,0.00%,0,$0.00
network of ign (ibm) iga arch. and design gb,17,17,27,25.93%,4.74,00:15:27,0.00%,0,$0.00
new knoxville telephone company,17,17,20,20.00%,2.65,00:00:54,0.00%,0,$0.00
olympic aviation,17,17,63,6.35%,2.54,00:00:26,0.00%,0,$0.00
ooredoo q.s.c.,17,18,21,19.05%,2.71,00:00:48,0.00%,0,$0.00
orange business services-sita internet services - us aggregate,17,17,18,16.67%,2.78,00:01:04,0.00%,0,$0.00
pacific consolidated industries,17,16,35,8.57%,3.06,00:02:04,0.00%,0,$0.00
pacific scientific,17,17,20,0.00%,3.00,00:01:42,0.00%,0,$0.00
pool for broadband dsl customers,17,13,18,38.89%,2.89,00:02:33,0.00%,0,$0.00
post luxembourg,17,17,20,15.00%,3.35,00:04:02,0.00%,0,$0.00
private customer - sbc internet services,17,17,56,1.79%,3.88,00:04:44,0.00%,0,$0.00
pt telekomunikasi indonesia,17,18,30,40.00%,2.83,00:05:43,0.00%,0,$0.00
quadranet inc,17,16,20,50.00%,2.30,00:03:38,0.00%,0,$0.00
rcp,17,14,39,20.51%,2.87,00:03:19,0.00%,0,$0.00
rkon technologies,17,18,25,12.00%,4.24,00:06:01,0.00%,0,$0.00
roller bearing company of america,17,16,21,4.76%,3.05,00:00:27,0.00%,0,$0.00
romtelecom data network,17,17,20,40.00%,1.75,00:01:08,0.00%,0,$0.00
sasktel wide area network engineering center,17,17,31,12.90%,2.71,00:01:55,0.00%,0,$0.00
saudinet dsl pool_dynamic ips,17,14,23,34.78%,2.26,00:01:41,0.00%,0,$0.00
savvis,17,17,31,9.68%,3.90,00:03:47,0.00%,0,$0.00
semi source,17,17,33,24.24%,3.33,00:04:50,0.00%,0,$0.00
shock tech,17,17,82,8.54%,5.12,00:10:04,0.00%,0,$0.00
silknet broadband,17,16,25,36.00%,2.88,00:01:35,0.00%,0,$0.00
sprint akron pop,17,14,20,40.00%,1.75,00:00:30,0.00%,0,$0.00
stanford mu corporation,17,18,77,20.78%,6.39,00:08:44,0.00%,0,$0.00
static links,17,16,20,20.00%,3.85,00:05:21,0.00%,0,$0.00
stratus networks,17,17,21,4.76%,3.24,00:02:58,0.00%,0,$0.00
syd energi bredbaand a/s,17,13,115,15.65%,2.71,00:01:48,0.00%,0,$0.00
syringa networks llc,17,16,46,26.09%,3.65,00:04:41,0.00%,0,$0.00
tata 1707 id001733,17,16,29,10.34%,3.79,00:02:32,0.00%,0,$0.00
tdc proaccess users,17,17,20,15.00%,3.25,00:03:10,0.00%,0,$0.00
te connectivity corporation,17,14,18,16.67%,3.11,00:00:51,0.00%,0,$0.00
telefonica germany gmbh & co. ohg,17,17,29,31.03%,2.24,00:03:02,0.00%,0,$0.00
telefonos del noroeste s.a. de c.v.,17,14,21,19.05%,3.33,00:02:39,0.00%,0,$0.00
telekom srbija adsl users,17,17,17,47.06%,2.53,00:01:01,0.00%,0,$0.00
tighitco,17,17,35,22.86%,2.49,00:00:33,0.00%,0,$0.00
total play telecomunicaciones sa de cv,17,16,27,25.93%,3.63,00:06:26,0.00%,0,$0.00
transat tours canada inc,17,16,61,14.75%,2.31,00:01:27,0.00%,0,$0.00
tt adsl-ttnet-aci-static,17,17,33,36.36%,4.97,00:06:52,0.00%,0,$0.00
us department of the treasury,17,16,27,14.81%,2.48,00:00:29,0.00%,0,$0.00
us office of personnel management,17,16,25,32.00%,3.48,00:04:54,0.00%,0,$0.00
vitalcor,17,14,60,15.00%,3.48,00:05:09,0.00%,0,$0.00
volkshaus/stadtbibliothek,17,17,18,88.89%,1.17,00:00:15,0.00%,0,$0.00
vultr holdings llc,17,16,20,50.00%,1.85,00:00:41,0.00%,0,$0.00
webroot services ltd,17,17,20,15.00%,2.85,00:04:40,0.00%,0,$0.00
western illinois network,17,16,39,20.51%,3.41,00:04:47,0.00%,0,$0.00
xplornet communications inc.,17,14,18,5.56%,6.67,00:04:31,0.00%,0,$0.00
xylem inc.,17,17,20,40.00%,3.15,00:02:21,0.00%,0,$0.00
y-s-l2-rts2,17,17,17,23.53%,2.24,00:00:46,0.00%,0,$0.00
zain kw,17,17,20,40.00%,2.50,00:02:53,0.00%,0,$0.00
zito media,17,16,21,4.76%,2.86,00:01:06,0.00%,0,$0.00
zodiac sa,17,17,35,8.57%,3.09,00:01:27,0.00%,0,$0.00
*se5-ptk*,16,8,68,44.12%,2.19,00:01:15,0.00%,0,$0.00
013 netvision cable,16,9,26,15.38%,2.96,00:03:54,0.00%,0,$0.00
101581314_bosch service solutions inc.,16,16,735,47.21%,2.38,00:05:54,0.00%,0,$0.00
186 communications llc.,16,16,450,91.11%,1.14,00:00:55,0.00%,0,$0.00
20-41254_lufthansa_technik_phils_inc,16,13,43,11.63%,4.40,00:05:47,0.00%,0,$0.00
acc-air electro inc.,16,16,48,14.58%,2.75,00:00:45,0.00%,0,$0.00
acc-metal shark boats,16,14,57,12.28%,7.05,00:10:25,0.00%,0,$0.00
addresses for mvno (virtual cellular provider) mirs,16,10,31,16.13%,3.87,00:05:07,0.00%,0,$0.00
administracion nacional de telecomunicaciones,16,14,17,41.18%,2.82,00:01:57,0.00%,0,$0.00
aero engineering,16,16,18,0.00%,2.44,00:00:40,0.00%,0,$0.00
aero vodochody a.s.,16,14,18,22.22%,2.78,00:01:09,0.00%,0,$0.00
aerolyus a inc,16,14,44,9.09%,3.41,00:04:16,0.00%,0,$0.00
amazon data services japan,16,16,16,100.00%,1.00,00:00:00,0.00%,0,$0.00
antietam cable television inc.,16,16,20,25.00%,2.30,00:01:48,0.00%,0,$0.00
arnprior aerospace inc,16,16,18,5.56%,3.72,00:01:47,0.00%,0,$0.00
assigned for adsl customers,16,13,34,47.06%,3.03,00:02:24,0.00%,0,$0.00
austrian airlines ag,16,14,25,20.00%,2.44,00:00:55,0.00%,0,$0.00
avox systems inc. dba zodiac oxygen systems us,16,14,21,19.05%,2.62,00:00:31,0.00%,0,$0.00
bhn tpa division,16,16,17,17.65%,2.59,00:00:31,0.00%,0,$0.00
c d zodiac,16,14,18,5.56%,3.33,00:01:45,0.00%,0,$0.00
cisco cws par2,16,13,26,19.23%,2.85,00:04:08,0.00%,0,$0.00
clear rate communications inc.,16,16,43,9.30%,2.91,00:04:04,0.00%,0,$0.00
clearwave communications,16,16,20,20.00%,3.65,00:01:36,0.00%,0,$0.00
covington & burling llp,16,14,29,13.79%,3.34,00:03:48,0.00%,0,$0.00
cox communcations,16,13,335,13.73%,2.93,00:04:44,0.00%,0,$0.00
criare telecomunica es e consultoria ltda. - epp,16,13,44,15.91%,2.70,00:02:20,0.00%,0,$0.00
croatia airlines d.d.,16,16,65,1.54%,3.38,00:02:54,0.00%,0,$0.00
cummins engine co.,16,14,23,21.74%,3.52,00:02:13,0.00%,0,$0.00
earthlink ltd. communications&internet services-orange,16,16,20,40.00%,3.05,00:03:52,0.00%,0,$0.00
eircom limited,16,14,23,30.43%,3.96,00:01:44,0.00%,0,$0.00
electro enterprises inc,16,16,67,4.48%,2.54,00:01:18,0.00%,0,$0.00
electroi mpulse,16,16,51,5.88%,2.69,00:01:22,0.00%,0,$0.00
elite limited,16,10,87,10.34%,2.90,00:01:35,0.00%,0,$0.00
embraer (ap) pte ltd,16,16,23,56.52%,3.13,00:03:38,0.00%,0,$0.00
entel chile s.a.,16,14,202,17.33%,2.25,00:02:34,0.00%,0,$0.00
etihad etisalat,16,16,22,36.36%,2.00,00:01:04,0.00%,0,$0.00
eurocopter canada,16,16,22,22.73%,2.95,00:01:24,0.00%,0,$0.00
evolveip llc,16,14,35,14.29%,3.34,00:01:31,0.00%,0,$0.00
finnair oy,16,14,39,12.82%,3.28,00:03:43,0.00%,0,$0.00
for karachi igw,16,16,16,6.25%,2.88,00:01:39,0.00%,0,$0.00
fpt telecom company,16,14,22,40.91%,2.73,00:02:40,0.00%,0,$0.00
free sas,16,14,22,45.45%,2.14,00:00:22,0.00%,0,$0.00
freebit co. ltd.,16,16,22,77.27%,1.68,00:00:30,0.00%,0,$0.00
freescale semiconductor inc.,16,14,18,27.78%,4.33,00:05:04,0.00%,0,$0.00
ftip003247273 wesco aircraft europe ltd.,16,20,37,18.92%,3.16,00:01:59,0.00%,0,$0.00
ftip003477489 wesco aircraft emea,16,14,46,26.09%,17.11,00:23:29,0.00%,0,$0.00
fts broadband,16,16,30,40.00%,2.40,00:01:54,0.00%,0,$0.00
globe telecom,16,12,18,16.67%,4.78,00:02:28,0.00%,0,$0.00
gprs delhi mobile subscriber ip,16,14,17,76.47%,1.94,00:01:22,0.00%,0,$0.00
host virtual inc,16,16,27,14.81%,2.74,00:01:07,0.00%,0,$0.00
industries for the blind,16,14,53,15.09%,3.47,00:08:00,0.00%,0,$0.00
infra,16,14,17,47.06%,6.06,00:08:52,0.00%,0,$0.00
ip addresses assigned to vf customers,16,10,18,5.56%,3.78,00:02:43,0.00%,0,$0.00
irvine electronics inc,16,14,53,32.08%,3.72,00:05:23,0.00%,0,$0.00
japan nation-wide network of softbank corp.,16,14,17,52.94%,2.53,00:00:45,0.00%,0,$0.00
jet corp,16,16,47,10.64%,2.70,00:01:43,0.00%,0,$0.00
jpmorgan chase & co.,16,16,18,44.44%,2.56,00:01:57,0.00%,0,$0.00
kellstrom industries inc.,16,16,46,8.70%,2.50,00:00:23,0.00%,0,$0.00
kroll ontrack inc.,16,16,17,52.94%,2.59,00:03:09,0.00%,0,$0.00
ktdaejeonjisa,16,16,82,25.61%,4.91,00:10:47,0.00%,0,$0.00
kuwait telecommunication company (under association),16,12,22,59.09%,2.32,00:01:33,0.00%,0,$0.00
lebanon tool company,16,16,16,0.00%,6.06,00:02:24,0.00%,0,$0.00
linode,16,9,22,31.82%,3.95,00:17:52,0.00%,0,$0.00
linode llc,16,10,30,23.33%,2.90,00:08:54,0.00%,0,$0.00
lnput656 puteaux bloc 2,16,17,22,18.18%,3.73,00:01:25,0.00%,0,$0.00
lockheed martin uk holdings limited,16,17,34,23.53%,3.29,00:03:05,0.00%,0,$0.00
logica s.r.l.,16,16,34,20.59%,3.88,00:07:44,0.00%,0,$0.00
london trust media inc,16,14,17,17.65%,11.18,00:05:52,0.00%,0,$0.00
master distributors,16,16,17,23.53%,3.12,00:01:38,0.00%,0,$0.00
mega cable s.a. de c.v.,16,16,34,38.24%,4.00,00:06:47,0.00%,0,$0.00
mid-state aerospace,16,16,16,0.00%,3.44,00:01:31,0.00%,0,$0.00
mitsubishi corporation,16,16,17,5.88%,2.76,00:00:37,0.00%,0,$0.00
mobily corp.,16,16,21,23.81%,2.62,00:00:46,0.00%,0,$0.00
montana opticom llc,16,14,18,5.56%,2.67,00:01:44,0.00%,0,$0.00
myrepublic ltd,16,16,16,0.00%,2.69,00:02:16,0.00%,0,$0.00
national machine company,16,16,21,0.00%,3.33,00:01:18,0.00%,0,$0.00
navantia s.a.,16,14,23,21.74%,2.96,00:03:07,0.00%,0,$0.00
ncc#2006071591,16,16,17,41.18%,2.76,00:00:33,0.00%,0,$0.00
oesia networks s.l.,16,16,46,28.26%,2.48,00:06:38,0.00%,0,$0.00
orange spain network,16,14,37,13.51%,3.35,00:03:00,0.00%,0,$0.00
osha,16,16,44,22.73%,3.32,00:02:33,0.00%,0,$0.00
ovh telecom,16,16,16,18.75%,2.88,00:00:54,0.00%,0,$0.00
pats aviation,16,17,31,3.23%,2.90,00:00:37,0.00%,0,$0.00
